,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2014-11-21 13:52:00,T0450A,T0451A,T0453,T0458,T0459,T0460,T0451,X0451B,X0451A,X0451F,X0451C,P0455,T0452A,X0451E,X0451D
2014-11-21 13:53:00,T0450A,T0451A,T0453,T0458,T0459,T0460,T0451,X0451B,X0451A,X0451F,X0451C,P0455,T0452A,X0451E,X0451D
2014-11-21 13:54:00,T0450A,T0451A,T0453,T0451,T0460,T0458,X0451A,X0451B,T0459,X0451F,X0451C,P0455,X0451E,T0452A,X0451D
2014-11-21 13:55:00,T0450A,T0451A,T0453,T0451,T0458,T0460,T0459,X0451A,X0451B,X0451F,X0451C,T0452A,X0451E,P0455,X0451D
2014-11-21 13:56:00,T0450A,T0451A,T0453,T0451,T0458,T0460,T0459,X0451A,X0451B,X0451F,X0451C,T0452A,X0451E,P0455,X0451D
2014-11-21 13:57:00,T0450A,T0451A,T0451,T0453,T0460,T0458,T0459,X0451A,X0451B,X0451F,X0451C,X0451E,T0452A,P0455,X0451D
2014-11-21 13:58:00,T0450A,T0451A,T0451,T0453,T0460,T0458,T0459,X0451A,X0451B,X0451F,X0451C,X0451E,T0452A,P0455,X0451D
2014-11-21 13:59:00,T0450A,T0451,T0460,T0453,T0451A,T0459,X0451A,T0458,X0451B,X0451F,T0452A,X0451C,X0451E,X0451D,P0455
2014-11-21 14:00:00,T0450A,T0451,T0460,T0453,T0451A,T0459,X0451A,T0458,X0451B,X0451F,T0452A,X0451C,X0451E,X0451D,P0455
2014-11-21 14:01:00,T0450A,T0451A,T0451,T0460,T0453,T0458,T0459,X0451A,X0451B,X0451F,X0451C,X0451E,T0452A,X0451D,P0455
2014-11-21 14:02:00,T0450A,T0451A,T0451,T0460,T0453,T0458,T0459,X0451A,X0451B,X0451F,X0451C,X0451E,T0452A,X0451D,P0455
2014-11-21 14:03:00,T0450A,T0451A,T0451,T0460,T0453,T0458,T0459,X0451A,X0451B,X0451F,X0451C,X0451E,T0452A,X0451D,P0455
2014-11-21 14:04:00,T0450A,T0451A,T0453,T0451,T0458,T0460,T0459,X0451A,X0451B,X0451F,X0451C,T0452A,X0451E,P0455,X0451D
2014-11-21 14:05:00,T0450A,T0451A,T0453,T0451,T0458,T0460,T0459,X0451A,X0451B,X0451F,X0451C,T0452A,X0451E,P0455,X0451D
2014-11-21 14:06:00,T0450A,T0451,T0460,T0451A,T0453,T0459,X0451A,X0451B,X0451F,X0451C,T0452A,T0458,X0451E,X0451D,P0455
